libsigc++ 2.10.8-1
libslirp 4.7.0-1
libsm 1.2.3-3
libsndfile 1.1.0-3
libsodium 1.0.18-2
libsoup 2.74.2-2
libsoup3 3.2.0-1
libsoxr 0.1.3-2
libssh 0.10.4-1
libssh2 1.10.0-1
libstemmer 2.2.0-2
libsysprof-capture 3.44.0-2
libtar 1.2.20-6
libtasn1 4.19.0-1
libteam 1.31-5
libthai 0.1.29-1
libtheora 1.1.1-5
libtiff 4.4.0-4
libtirpc 1.3.3-1
libtool 2.4.7-5
libunistring 1.0-1
libunwind 1.6.2-1
libupnp 1.14.13-1
liburcu 0.13.2-1
liburing 2.2-1
libusb 1.0.26-1
libusb-compat 0.1.7-1
libusbmuxd 2.0.2-1
libuv 1.44.2-1
libva 2.16.0-1
libvdpau 1.5-1
libverto 0.3.2-4
libvirt 1:8.7.0-1
libvirt-glib 4.0.0-2
libvisual 0.4.0-8
libvorbis 1.3.7-3
libvpx 1.12.0-1
libwacom 2.4.0-1
libwebp 1.2.4-1
libwpe 1.14.0-1
libx11 1.8.1-3
libxau 1.0.10-1
libxaw 1.0.14-1
libxcb 1.15-1
libxcomposite 0.4.5-4
libxcrypt 4.4.28-2
libxcursor 1.2.1-1
libxcvt 0.1.2-1
libxdamage 1.1.5-4
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-4
libxext 1.3.4-4
libxfce4ui 4.16.1-1
libxfce4util 4.16.0-1
libxfixes 6.0.0-1
libxfont2 2.0.6-1
libxft 2.3.6-1
libxi 1.8-1
libxinerama 1.1.4-4
libxkbcommon 1.4.1-1
libxkbcommon-x11 1.4.1-1
libxkbfile 1.1.0-3
libxklavier 5.4-3
libxml2 2.10.2-2
libxmu 1.1.3-3
libxpm 3.5.13-3
libxrandr 1.5.2-4
libxrender 0.9.10-5
libxshmfence 1.3-3
libxslt 1.1.37-2
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.4-1
libxv 1.0.11-5
libxvmc 1.0.13-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-1
libyuv r2322+3aebf69d-1
licenses 20220125-1
lilv 0.24.20-1
linux 5.19.12.arch1-1
linux-api-headers 5.18.15-1
linux-firmware 20220913.f09bebf-1
linux-firmware-whence 20220913.f09bebf-1
linux-headers 5.19.12.arch1-1
llvm 14.0.6-3
llvm-libs 14.0.6-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
logiops-git 1:0.2.3.r18.gdbe2b28-1
lua52 5.2.4-5
luit 20220111-1
lv2 1.18.10-1
lvm2 2.03.16-2
lxsession 1:0.5.5-1
lz4 1:1.9.4-1
lzo 2.10-3
m4 1.4.19-1
make 4.3-3
man-db 2.10.2-1
mbedtls 2.28.0-1
md4c 0.4.8-1
mdadm 4.2-2
mesa 22.1.7-1
miniupnpc 2.2.3-1
minizip 1:1.2.12-2
mirage 1.0_pre2-4
mkinitcpio 31-3
mkinitcpio-busybox 1.35.0-1
mkvtoolnix-cli 70.0.0-2
mkvtoolnix-gui 70.0.0-2
mobile-broadband-provider-info 20220725-1
mpfr 4.1.0.p13-3
mpg123 1.30.2-1
mtdev 1.1.6-2
mtools 1:4.0.41-1
multilockscreen 1.2.0-1
multipath-tools 0.9.1-1
ncurses 6.3-3
ndctl 74-1
neofetch 7.1.0-2
nerd-fonts-hermit 2.1.0-2
nerd-fonts-roboto-mono 2.2.2-2
nerd-fonts-source-code-pro 2.1.0-2
nettle 3.8.1-1
network-manager-applet 1.28.0-1
networkmanager 1.40.0-1
nitrogen 1.6.1-4
nm-connection-editor 1.28.0-1
node-gyp 9.1.0-1
nodejs 18.10.0-1
nodejs-nopt 6.0.0-1
npm 8.19.2-1
npth 1.6-3
nspr 4.35-1
nss 3.83-1
ntfs-3g 2022.5.17-1
numactl 2.0.15-1
obs-studio 28.0.2-1
ocl-icd 2.3.1-1
openal 1.22.2-1
opencore-amr 0.1.6-1
openexr 3.1.5-1
openjpeg2 2.5.0-1
openmpi 4.1.4-2
openpmix 4.2.0-1
openssh 9.0p1-1
openssl 1.1.1.q-1
opus 1.3.1-3
orc 0.4.32-1
os-prober 1.81-1
osinfo-db 20220830-1
p11-kit 0.24.1-1
pacman 6.0.1-8
pacman-mirrorlist 20220828-1
pahole 1:1.23-1
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.10-1
pangomm 2.46.2-1
papirus-icon-theme 20220910-1
parted 3.5-1
patch 2.7.6-8
pciutils 3.8.0-2
pcre 8.45-3
pcre2 10.40-3
perl 5.36.0-1
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-timedate 2.33-4
pfetch-git r350.0faef36-1
phinger-cursors 1.1-3
phodav 2.5-2
picom 9.1-3
pinentry 1.2.0-1
pipewire 1:0.3.58-1
pixman 0.40.0-2
pkgconf 1.8.0-1
polkit 121-1
polybar 3.6.3-2
popt 1.18-3
preload 0.6.4-7
procps-ng 3.3.17-1
protobuf 21.6-1
psmisc 23.5-1
pugixml 1.12.1-1
pulseaudio 16.1-1
pulseaudio-alsa 1:1.2.7.1-1
pulseaudio-bluetooth 16.1-1
pygtk 2.24.0-12
python 3.10.7-1
python-appdirs 1.4.4-7
python-argcomplete 2.0.0-1
python-async-timeout 4.0.2-1
python-attrs 22.1.0-1
python-autocommand 2.2.1-1
python-beautifulsoup4 4.11.1-1
python-brotli 1.0.9-8
python-cairo 1.21.0-1
python-certifi 2022.09.24-1
python-cffi 1.15.1-1
python-chardet 5.0.0-1
python-colorama 0.4.5-1
python-commonmark 0.9.1-5
python-cryptography 38.0.1-1
python-deprecated 1.2.13-3
python-docutils 1:0.19-2
python-dotty-dict 1.3.1-1
python-evdev 1.6.0-1
python-future 0.18.2-7
python-gobject 3.42.2-1
python-halo 0.0.31-4
python-hid 1.0.4-7
python-hjson 3.0.2-5
python-html5lib 1.1-11
python-idna 3.4-1
python-inflect 6.0.0-1
python-jaraco.context 4.1.2-1
python-jaraco.functools 3.5.2-1
python-jaraco.text 3.9.1-1
python-jarowinkler 1.2.1-1
python-jsonschema 4.16.0-1
python-log_symbols 0.0.14-4
python-milc 1.6.6-1
python-more-itertools 8.13.0-2
python-mutagen 1.45.1-6
python-nspektr 0.4.0-2
python-ordered-set 4.1.0-1
python-packaging 21.3-1
python-pexpect 4.8.0-6
python-pip 22.2.2-2
python-ply 3.11-10
python-psutil 5.9.2-1
python-ptyprocess 0.7.0-4
python-pycparser 2.21-3
python-pycryptodomex 3.12.0-1
python-pydantic 1.10.2-1
python-pygments 2.13.0-1
python-pyopenssl 22.1.0-1
python-pyparsing 3.0.9-1
python-pyrsistent 0.19.0-1
python-pytube 12.1.0-1
python-pyudev 0.24.0-1
python-pyusb 1.2.1-3
python-pywal 3.3.0-5
python-rapidfuzz 2.10.2-1
python-redis 4.3.4-1
python-requests 2.28.1-1
python-rich 12.5.1-1
python-setuptools 1:62.6.0-1
python-six 1.16.0-6
python-soupsieve 2.3.2.post1-1
python-spinners 0.0.24-3
python-spotdl 3.9.6-4
python-spotipy 2.20.0-2
python-termcolor 2.0.0-1
python-tomli 2.0.1-1
python-tqdm 4.64.1-1
python-trove-classifiers 2022.9.26-1
python-typing_extensions 4.3.0-1
python-undervolt 0.3.0-2
python-unidecode 1.3.5-1
python-urllib3 1.26.12-1
python-validate-pyproject 0.10.1-1
python-webencodings 0.5.1-9
python-websockets 10.3-1
python-wrapt 1.14.1-1
python-xlib 0.31-3
python-yaml 6.0-1
python-ytmusicapi 0.23.0-1
python2 2.7.18-6
python2-cairo 1.18.2-4
python2-gobject2 2.28.7-7
qemu-audio-alsa 7.1.0-5
qemu-audio-dbus 7.1.0-5
qemu-audio-jack 7.1.0-5
qemu-audio-oss 7.1.0-5
qemu-audio-pa 7.1.0-5
qemu-audio-sdl 7.1.0-5
qemu-audio-spice 7.1.0-5
qemu-block-curl 7.1.0-5
qemu-block-dmg 7.1.0-5
qemu-block-nfs 7.1.0-5
qemu-block-ssh 7.1.0-5
qemu-chardev-spice 7.1.0-5
qemu-common 7.1.0-5
qemu-desktop 7.1.0-5
qemu-hw-display-qxl 7.1.0-5
qemu-hw-display-virtio-gpu 7.1.0-5
qemu-hw-display-virtio-gpu-gl 7.1.0-5
qemu-hw-display-virtio-gpu-pci 7.1.0-5
qemu-hw-display-virtio-gpu-pci-gl 7.1.0-5
qemu-hw-display-virtio-vga 7.1.0-5
qemu-hw-display-virtio-vga-gl 7.1.0-5
qemu-hw-s390x-virtio-gpu-ccw 7.1.0-5
qemu-hw-usb-host 7.1.0-5
qemu-hw-usb-redirect 7.1.0-5
qemu-hw-usb-smartcard 7.1.0-5
qemu-img 7.1.0-5
qemu-pr-helper 7.1.0-5
qemu-system-x86 7.1.0-5
qemu-tools 7.1.0-5
qemu-ui-curses 7.1.0-5
qemu-ui-dbus 7.1.0-5
qemu-ui-egl-headless 7.1.0-5
qemu-ui-gtk 7.1.0-5
qemu-ui-opengl 7.1.0-5
qemu-ui-sdl 7.1.0-5
qemu-ui-spice-app 7.1.0-5
qemu-ui-spice-core 7.1.0-5
qemu-vhost-user-gpu 7.1.0-5
qemu-virtiofsd 7.1.0-5
qmk 1.1.1-1
qt5-base 5.15.6+kde+r177-1
qt5-declarative 5.15.6+kde+r20-1
qt5-svg 5.15.6+kde+r9-1
qt5-translations 5.15.6+kde+r2-1
qt5-wayland 5.15.6+kde+r50-1
qt5-x11extras 5.15.6+kde+r0-1
qt6-5compat 6.3.2-1
qt6-base 6.3.2-1
qt6-declarative 6.3.2-1
qt6-imageformats 6.3.2-1
qt6-multimedia 6.3.2-1
qt6-svg 6.3.2-1
qt6-translations 6.3.2-1
qt6-wayland 6.3.2-1
rav1e 0.5.1-2
re2 1:20220601-1
readline 8.1.002-1
reflector 2021.11-5
ripgrep 13.0.0-2
rnnoise 0.4.1-1
rofi 1.5.4-2
rsync 3.2.6-2
rtkit 0.13-2
run-parts 5.5-1
sbc 2.0-1
sdl2 2.24.0-2
sdl2_image 2.6.2-2
seabios 1.16.0-3
sed 4.8-1
semver 7.3.7-1
serd 0.30.16-1
shaderc 2022.1-4
shadow 4.11.1-1
shared-mime-info 2.0+155+gf4e7cbc-1
siji-git r23.c691f20-2
slang 2.3.3-1
snappy 1.1.9-2
solaar 1.1.5-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
speex 1.2.1-1
speexdsp 1.2.1-1
spice 0.15.0-1
spice-gtk 0.41-2
spicetify-cli 2.14.0-1
spirv-tools 2022.1-1
spotify 1:1.1.84.716-2
sqlite 3.39.3-1
sratom 0.6.14-1
srt 1.5.1-1
startup-notification 0.12-7
sudo 1.9.11.p3-1
svt-av1 1.2.1-1
sxhkd 0.6.2-2
sysfsutils 2.1.1-1
systemd 251.4-1
systemd-libs 251.4-1
systemd-sysvcompat 251.4-1
taglib 1.12-2
tar 1.34-1
tcl 8.6.12-3
tdb 1.4.7-1
telegram-desktop 4.2.0-1
termite 16.4-2
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
thunar 4.16.11-2
thunar-archive-plugin 0.5.0-2
thunar-volman 4.16.0-1
tlp 1.5.0-5
tlpui-git 2:1.5.0.r0.g83e4129-3
tpm2-tss 3.2.0-1
tracker3 3.4.0-1
transmission-gtk 3.00-4
tslib 1.22-1
ttf-hack 3.003-3
ttf-liberation 2.1.5-1
ttf-opensans 1.101-2
ttf-roboto-fontconfig 2.000980-1
ttf-roboto-mono 3.000-1
twolame 0.4.0-2
tzdata 2022d-1
udisks2 2.9.4-1
ufw 0.36.1-1
unrar 1:6.1.7-1
unzip 6.0-19
upower 1.90.0-1
usbmuxd 1.1.1-1
usbredir 0.13.0-1
usbutils 014-2
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
v4l2loopback-dkms 0.12.5-2
vde2 2.3.3-3
via-bin 2.0.5-2
vid.stab 1.1-3
vim 9.0.0354-1
vim-runtime 9.0.0354-1
virglrenderer 0.9.1-1
vlc 3.0.17.4-8
vmaf 2.3.1-1
volume_key 0.3.12-7
vte-common 0.68.0-2
vte3 0.68.0-2
vulkan-headers 1:1.3.227-1
vulkan-icd-loader 1.3.226-1
wavpack 5.5.0-1
wayland 1.21.0-1
wayland-protocols 1.26-1
webkit2gtk 2.38.0-2
webrtc-audio-processing 0.3.1-3
wget 1.21.3-1
which 2.21-5
wireless_tools 30.pre9-3
wmctrl 1.07-6
wmname 0.1-5
woff2 1.0.2-4
wolfssl 5.5.1-1
wpa_supplicant 2:2.10-5
wpebackend-fdo 1.14.0-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xautomation 1.09-4
xbindkeys 1.8.7-3
xcb-proto 1.15.2-1
xcb-util 0.4.0-4
xcb-util-cursor 0.1.3-4
